Comunidad Autónoma,Asociación,Email,Teléfono,Dirección,Servicios,Envios,Respuestas
Murcia,ASTRADE,astrade@astrade.es,+34968206862,"Carretera del Chorrico s/n, Molina de Segura","Atención integral TEA, intervención y apoyo familiar",31/07/2025,
Andalucía,ASTTA Andalucía,info@astta.org,+34951012345,Sevilla,Apoyo a personas con Síndrome de Tourette y familias,31/07/2025,
Andalucía,ATELAN (Andalucía),info@atelan.es,+34958400222,Sevilla,"Atención TEL-TDL, orientación y formación",31/07/2025,
Aragón,ATELAR (Aragón),atelar@atelar.es,+34976223344,Zaragoza,"Apoyo familiar, terapias TEL-TDL",31/07/2025,
Asturias,ATELAS Asturias,info@telasturias.es,+34984567890,Cangas del Narcea / Oviedo,"Acompañamiento psicoeducativo, apoyo familiar",31/07/2025,
Islas Baleares,ATELBA,contacto@atelba.org,+34971222333,Palma de Mallorca,Intervención y apoyo TEL-TDL,31/07/2025,
Cantabria,ATELCA,info@atelca.es,+34942222333,Santander,Apoyo a niños con TEL y familias,31/07/2025,
Castilla-La Mancha,ATELCAM,info@atelcam.es,+34922222333,Toledo,Intervención temprana TEL-TDL,31/07/2025,
Islas Canarias,ATELCAN,info@atelcan.org,+34928222333,Las Palmas,"Apoyo terapéutico TEL-TDL, sensibilización",31/07/2025,
Cataluña,ATELCAT,info@atelcat.cat,+34932222333,Barcelona,Atención específica TEL y formación a docentes,31/07/2025,
Ceuta,ATELCE,info@atelce.es,+34650404721,Ceuta,"Intervención TEL-TDL, apoyo escolar",31/07/2025,
Castilla y León,ATELCYL,info@atelcyl.org,+34984222333,Valladolid,"Terapias, asesoramiento y orientación TEL-TDL",31/07/2025,
País Vasco,ATELEUS,info@ateleus.org,+34943222333,Bilbao,"Apoyo TEL-TDL, inclusión escolar",31/07/2025,
Extremadura,ATELEx,info@atelex.org,+34912222333,Mérida,"Atención a TEL-TDL, programas educativos",31/07/2025,
Galicia,ATELGA,info@atelga.org,+34982222333,Santiago de Compostela,"Apoyo TEL-TDL, talleres familiares",31/07/2025,
Madrid,ATELMA,asociacion@atelma.es,+34664594749,"C/ Marcelina 32 local 3, Madrid","Terapia TEL, orientación, formación y ocio adaptado",31/07/2025,
Melilla,ATELME,info@atelme.org,+34952222333,Melilla,Atención a niños con TEL-TDL y familias,31/07/2025,
Navarra,ATELNA,info@atelna.org,+34948222333,Pamplona,"Atención a niños TEL-TDL, orientación familiar",31/07/2025,
La Rioja,ATELRIO,info@atelrioja.org,+34941222333,Logroño,"Terapias TEL-TDL, apoyo familiar",31/07/2025,
Comunidad Valenciana,ATELVA,info@atelva.org,+34962222333,Valencia,"Terapias TEL-TDL, orientación escolar",31/07/2025,
Aragón,Atenciona Zaragoza,asociacionatenciona@gmail.com,876164948,"C/ Concepción Saiz de Otero 16, Zaragoza","Evaluación, talleres psicoeducativos",30/07/2025,
Islas Canarias,ATIMANA-DAH (Tenerife),secretariaatimana@gmail.com,647 94 23 08,Santa Cruz de Tenerife,Información y asesoramiento para familias,31/07/2025,
País Vasco,AUPA País Vasco,contacto@aupaeuskadi.org,+34946222334,Bilbao,Apoyo a superdotación y altas capacidades,31/07/2025,
Aragón,Autismo Aragón,autismoaragon@gmail.com,+34976514004,"C/ María Montessori 9, Zaragoza","Sensibilización, apoyo a familias",31/07/2025,
Islas Baleares,Autismo Baleares,info@autismobaleares.com,+34971307222,"C/ Manacor 44, Palma de Mallorca","Intervención TEA, apoyo familiar y escolar",31/07/2025,
Andalucía,Autismo Cádiz,info@autismocadiz.org,+34956472839,"C/ Rosadas 11510, Puerto Real (Cádiz)","Apoyo familiar, talleres, sensibilización",31/07/2025,
Ceuta,Autismo Ceuta,autismoceuta@gmail.com,+34650404721,"C/ Dean Navarro 6, Ceuta","Apoyo psicopedagógico TEA, talleres y escuela de padres",31/07/2025,
Melilla,Autismo Melilla,info@autismomelilla.org,951768402,Melilla,Entidad de referencia TEA pendiente de contacto oficial,31/07/2025,
Comunidad Valenciana,AVADIS Valencia,m.noguera@dixle.com,+34656428505,Valencia,"Apoyo a Discalculia y DEA, recursos matemáticos",31/07/2025,
Castilla-La Mancha,AVANZA TDAH Almansa,almansa@avanzatdah.com,+34634294026,"C/ La Estrella 15, Almansa",Asociación local de apoyo familiar,30/07/2025,
Comunidad Valenciana,AVAST Comunidad Valenciana,info@avast.org,+34962222334,Valencia,Asociación valenciana de superdotación y altas capacidades,31/07/2025,
Asturias,Centro Neurodesarrollo Asturias,info@neuroasturias.org,+34985000000,Oviedo,"Tratamiento TPS, terapias ocupacionales",,
Islas Baleares,DISFAM Baleares,contacto@disfam.org,+34902886565,Palma de Mallorca,"Apoyo a Dislexia y Discalculia, recursos educativos",,
País Vasco,DISLEBI Euskadi,info@dislexiaeuskadi.com,+34946569211,Bilbao,"Apoyo DEA: Discalculia, formación y sensibilización",,
Islas Canarias,DISLECAN Canarias,dislecan@gmail.com,+34922820854,Tenerife,"Apoyo a Discalculia, talleres educativos",,
Castilla y León,DISLEON León,dislexialeon@gmail.com,+34625570546,León,"Asociación DEA: Discalculia, orientación y talleres",,
Asturias,Dislexia Asturias (Discalculia incluida),dislexiasturias@gmail.com,+34622240356,Gijón,Apoyo a Discalculia como parte de DEA,,
Navarra,DISNAVARRA Navarra,disnavarra@gmail.com,+34677889900,Pamplona,"Apoyo a Discalculia, orientación escolar",30/07/2025,
Castilla-La Mancha,FACAM TDAH,presidentafacam.tdah@gmail.com,+34949339785,"C/ Infantes 3, Ciudad Real","Coordinación regional, apoyo a asociaciones",31/07/2025,
Castilla y León,FACYL-TDAH,facyl.comunicacion@gmail.com,+34609938721,"C/ Mariano García Abril 2, Valladolid",Federación autonómica de TDAH,30/07/2025,
Andalucía,FAHYDA,afa@afandaluzas.org,+34954091988,"C/ Laraña 4, Sevilla",Federación andaluza de asociaciones de TDAH,30/07/2025,
Castilla-La Mancha,FANJAC Castilla-La Mancha,info@fanjacclm.org,+34922222334,Toledo,Federación de asociaciones de altas capacidades,,
Cataluña,FANJAC Cataluña,info@fanjac.org,+34932222334,Barcelona,Federación de asociaciones de altas capacidades Cataluña,,
Cataluña,FCAFA-TDAH,info@federaciocatalanatdah.org,No disponible,"C/ Convent 36, Sabadell",Federación catalana de asociaciones de TDAH,,
Comunidad Valenciana,FECOVADAH,fecovadah@gmail.com,+34626215746,Valencia,Federación regional de TDAH,30/07/2025,
Cataluña,Federació Catalana d'Autisme (FECA),info@fedcatalanautisme.org,683158309,Sabadell (Barcelona),Federación de asociaciones TEA catalanas,,
Castilla y León,Federación Autismo Castilla y León,federacion@autismocastillayleon.com,+34947268993,"Pº Comendadores s/n, Burgos",Federación de asociaciones TEA regionales,,
Galicia,Federación Autismo Galicia,info@autismogalicia.org,+34981575744,"Av. de Madrid 44, Santiago de Compostela",Federación de entidades TEA gallegas,,
Cantabria,Fundación CADAH,info@fundacioncadah.org,+34942213766,"C/ Francisco Tomás y Valiente 13B, Santander","Asesoramiento, formación, intervención educativa",30/07/2025,
Madrid,Fundación Conectea,info@fundacionconectea.es,+34916587378,"C/ José Hierro 10, SS Reyes","Atención integral a TEA, inclusión social",,
Madrid,Fundación Educación Activa,info@educacionactiva.com,+34913572633,"C/ Jimena Menéndez Pidal 8-A, Madrid","Psicopedagogía, formación docente/familiar",31/07/2025,
Galicia,Fundación INGADA,info@fundacioningada.net,+34722521381,"C/ Federico García 2, A Coruña","Diagnóstico, terapia, formación",31/07/2025,
País Vasco,Gautena,info@gautena.org,+34943231323,"San Sebastián, Guipúzcoa","Atención a personas con TEA, inclusión, servicios integrales",,
Andalucía,Integración Sensorial Andalucía,contacto@integracionsensorialandalucia.org,+34951000000,Sevilla,"Apoyo a TPS, terapias ocupacionales y estimulación sensorial",,
Islas Canarias,Integración Sensorial Canarias,info@tpscanarias.org,+34928000000,Santa Cruz de Tenerife,"TPS, terapia ocupacional, orientación familiar",,
País Vasco,Integración Sensorial Euskadi,info@tpseuskadi.org,+34946000000,Bilbao,"Apoyo a TPS, intervención temprana",,
Galicia,Integración Sensorial Galicia,info@tpsgalicia.org,+34982000000,Santiago de Compostela,"Apoyo a TPS, terapia ocupacional",,
Madrid,Madrid con la Dislexia,info@madridconladislexia.org,+34608570211,Madrid,Sensibilización y recursos educativos,,
Madrid,NorTEA,asociacion.nortea@gmail.com,619 36 13 05,"Avda. Aragón 1 bis, 2ºD, SS Reyes","Apoyo familiar, talleres, orientación TEA",,
Comunidad Valenciana,Proyecto Autista,socios@proyectoautista.org,+34687764329,"Pasaje 25 de Abril 6, Alaquàs, Valencia","Apoyo familiar, terapias, sensibilización",,
La Rioja,Rioja Dislexia,riojadislexia@gmail.com,+34941223344,Logroño,Apoyo familiar y educación,,
Aragón,SIN LIMITES Aragón,contacto@sinlimitesaragon.org,+34976222111,Zaragoza,"Asociación de altas capacidades, talleres y programas educativos",,
Madrid,SURESTEA,sio@surestea.org,+34633135700,"La Poveda, Arganda del Rey, Madrid","Apoyo a familias, intervención temprana TEA",,
Islas Canarias,TDAH Gran Canaria,asociacion@tdahgc.org.es,+34695179439,"C/ Presidente Alvear 18, Las Palmas","Apoyo a familiares, sensibilización, jornadas",30/07/2025,
Islas Baleares,TDAH Menorca,tdahmenorca@hotmail.com,+34608597590,"Centre Polivalent Carlos Mir, Maó",Apoyo local y colaboración con escuelas,30/07/2025,
Extremadura,TDAH Tierra de Barros,info@tdahtierradebarros.es,+34699567607,"C/ Salvador 223, Almendralejo, Badajoz",Apoyo local a familias y afectados,30/07/2025,
Castilla-La Mancha,TDAH Toledo,tdahtoledo@gmail.com,+34671764460,"C/ Río Bullaque 24, Toledo","Terapia, logopedia, charlas y talleres",30/07/2025,
Cataluña,TDAH Vallès (Sabadell),administracion@tdahvalles.org,937274605,"Sabadell, Barcelona","Diagnóstico, psicología, servicios jurídicos",30/07/2025,
Asturias,Tourette Asturias,info@touretteasturias.org,+34985345678,Oviedo,"Apoyo a Tourette, sensibilización y talleres",,
Islas Canarias,Tourette Canarias,info@tourettecanarias.org,+34928345678,Las Palmas,"Terapias, orientación y talleres Tourette",,
Castilla y León,Tourette Castilla y León,contacto@tourettecyl.org,+34984345678,Valladolid,Apoyo a personas con Tourette y orientación familiar,,
Castilla-La Mancha,Tourette Castilla-La Mancha,info@touretteclm.org,+34922345678,Toledo,Sensibilización y talleres Tourette,,
Cataluña,Tourette Catalunya,info@tourettecatalunya.org,+34932345678,Barcelona,"Asociación de apoyo Tourette, terapias y recursos",,
Ceuta,Tourette Ceuta,contacto@touretteceuta.org,+34650345678,Ceuta,Sensibilización y apoyo Tourette,,
Comunidad Valenciana,Tourette Comunidad Valenciana,contacto@tourettecv.org,+34962345678,Valencia,Apoyo y orientación Tourette,,
País Vasco,Tourette Euskadi,contacto@touretteeuskadi.org,+34946345678,Bilbao,Orientación y sensibilización sobre Tourette,,
Extremadura,Tourette Extremadura,info@touretteextremadura.org,+34924345678,Mérida,"Talleres, apoyo familiar y terapias",,
Galicia,Tourette Galicia,contacto@tourettegalicia.org,+34982345678,Santiago de Compostela,Apoyo y sensibilización Tourette,,
La Rioja,Tourette La Rioja,info@tourettelarioja.org,+34941345678,Logroño,Apoyo familiar y terapias Tourette,,
Melilla,Tourette Melilla,info@tourettemelilla.org,+34952345678,Melilla,Asociación de apoyo a Tourette,,
Murcia,Tourette Murcia,contacto@tourettesmurcia.org,+34968345678,Murcia,Terapias y apoyo familiar,,
Navarra,Tourette Navarra,info@tourettenavarra.org,+34948345678,Pamplona,Asociación de apoyo a Tourette,,
Castilla y León,TPS Castilla y León,info@tpscyl.org,+34984000000,Valladolid,"Integración sensorial, orientación familiar",,
Castilla-La Mancha,TPS Castilla-La Mancha,contacto@tpsclm.org,+34922000000,Toledo,"Apoyo a TPS, talleres y terapias ocupacionales",,
Ceuta,TPS Ceuta,info@tpsceuta.org,+34650000000,Ceuta,Tratamientos de integración sensorial,,
Comunidad Valenciana,TPS Comunidad Valenciana,contacto@tpscv.org,+34962000000,Valencia,"Tratamientos de integración sensorial, apoyo familiar",,
Extremadura,TPS Extremadura,info@tpsextremadura.org,+34924000000,Mérida,"TPS, talleres de estimulación sensorial",,
La Rioja,TPS La Rioja,contacto@tpslarioja.org,+34941000000,Logroño,"TPS, terapia ocupacional y apoyo familiar",,
Melilla,TPS Melilla,info@tpsmelilla.org,+34952000000,Melilla,"TPS, terapias ocupacionales y estimulación sensorial",,
Murcia,TPS Murcia,contacto@tpsmurcia.org,+34968000000,Murcia,"Apoyo a TPS, terapia ocupacional y orientación familiar",,
Navarra,TPS Navarra,info@tpsnavarra.org,+34948000000,Pamplona,"TPS, talleres de integración sensorial",,
